,customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,shipping_limit_date,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,payment_sequential,payment_type,payment_installments,payment_value,seller_city,seller_state,product_category_name_english,product_category,product_vol_cm3,shipping_days,arrival_status,estimated_days,arrival_days,estimated_delivery_rate,arrival_delivery_rate,shipping_delivery_rate
94184,barra do garcas,MT,2018-04-05 16:18:35,2018-04-05 16:35:24,2018-04-07 01:16:40,2018-04-19 23:21:46,2018-05-07,5,,,2018-04-20 00:00:00,2018-04-23 13:08:35,2018-04-11 16:35:24,226.18,52.08,57.0,2041.0,3.0,350.0,1,credit_card,5,278.26,porto alegre,RS,construction_tools_safety,Industry & Construction,6250.0,12,OnTime/Early,31,14,Slow,Fast,Fast
13931,governador valadares,MG,2017-11-30 17:20:03,2017-11-30 17:30:59,2017-12-04 20:25:00,2017-12-14 16:48:47,2017-12-27,5,,"lindo aparelho, recomendo a todos.",2017-12-15 00:00:00,2017-12-20 17:19:00,2017-12-06 17:30:44,19.9,15.1,51.0,381.0,1.0,150.0,1,credit_card,1,35.0,sao paulo,SP,telephony,Electronics,836.0,9,OnTime/Early,26,13,Slow,Fast,Fast
31048,cachoeiro de itapemirim,ES,2017-08-14 15:46:46,2017-08-15 15:45:12,2017-08-17 18:06:40,2017-08-24 19:27:47,2017-09-08,1,,,2017-08-25 00:00:00,2017-08-26 02:09:34,2017-08-21 15:45:12,370.47,18.35,53.0,1125.0,3.0,5700.0,1,credit_card,1,388.82,salto,SP,health_beauty,Beauty & Health,33524.0,7,OnTime/Early,24,10,Neutral,Fast,Very Fast
53335,sao paulo,SP,2018-04-04 13:47:39,2018-04-04 14:10:19,2018-04-05 18:35:35,2018-04-06 15:18:32,2018-04-16,1,,recebi metade do produto .,2018-04-07 00:00:00,2018-04-08 18:21:33,2018-04-10 14:10:19,18.5,8.29,43.0,341.0,1.0,350.0,1,credit_card,1,53.58,sao bernardo do campo,SP,health_beauty,Beauty & Health,3780.0,0,OnTime/Early,11,2,Fast,Very Fast,Very Fast
90889,londrina,PR,2018-07-20 01:00:51,2018-07-20 01:10:11,2018-07-20 14:03:00,2018-07-25 21:55:42,2018-08-07,5,Eu recomendo! ,É muito lindo! chegou bem embalado e rapidinho. Adorei! ,2018-07-26 00:00:00,2018-07-27 05:44:04,2018-07-24 01:10:11,49.9,41.33,58.0,340.0,2.0,1500.0,1,credit_card,3,91.23,sao jose do rio preto,SP,garden_tools,Furniture,19800.0,5,OnTime/Early,17,5,Neutral,Very Fast,Very Fast
3647,rio de janeiro,RJ,2018-07-22 20:00:50,2018-07-23 12:31:54,2018-07-23 13:13:00,2018-07-27 19:14:48,2018-08-20,4,,,2018-08-02 00:00:00,2018-08-02 03:38:28,2018-07-25 10:32:41,15.9,15.23,48.0,361.0,2.0,200.0,1,credit_card,1,31.13,sao paulo,SP,watches_gifts,Electronics,1612.0,4,OnTime/Early,28,4,Slow,Very Fast,Very Fast
32459,rio de janeiro,RJ,2018-01-22 09:19:01,2018-01-22 14:14:20,2018-01-26 21:18:37,2018-03-06 12:50:26,2018-02-15,1,,,2018-02-17 00:00:00,2018-02-19 13:53:52,2018-01-26 14:14:20,39.9,15.1,53.0,901.0,5.0,550.0,1,credit_card,1,110.0,salto,SP,home_construction,Furniture,7514.0,38,Late,23,43,Neutral,Very Slow,Slow
105639,sao paulo,SP,2018-04-30 19:02:40,2018-05-01 02:36:42,2018-05-02 07:20:00,2018-05-09 18:04:56,2018-05-22,4,,,2018-05-10 00:00:00,2018-05-11 02:25:18,2018-05-07 02:30:49,149.9,25.18,48.0,894.0,1.0,533.0,1,credit_card,2,175.08,recife,PE,computers_accessories,Electronics,4840.0,7,OnTime/Early,21,8,Neutral,Fast,Very Fast
33493,brasilia,DF,2017-08-04 14:43:10,2017-08-04 15:03:37,2017-08-07 16:14:54,2017-08-16 19:03:37,2017-08-30,5,,"Tênis muito confortável, resistente, bem acabado, recomendo a todos. ",2017-08-17 00:00:00,2017-08-21 02:30:59,2017-08-10 15:03:37,169.99,17.44,58.0,2375.0,5.0,1350.0,1,credit_card,10,187.43,americana,SP,fashion_shoes,Fashion,8580.0,9,OnTime/Early,25,12,Slow,Fast,Fast
24530,serra,ES,2017-11-29 20:43:48,2017-11-30 09:52:25,2017-12-04 14:51:58,2018-01-04 20:36:57,2017-12-22,1,,Paguei e ainda não recebi e com toda certeza não receberei. Um simples controle remoto. Péssimo serviço. Loja não recomendada. Paguei à vista. A data de compra foi 13/12.,2017-12-28 00:00:00,2017-12-30 09:29:15,2017-12-06 09:52:25,13.65,14.1,39.0,400.0,1.0,200.0,1,debit_card,1,27.75,sao paulo,SP,electronics,Electronics,2800.0,31,Late,22,35,Neutral,Slow,Slow
48072,matozinhos,MG,2018-01-18 13:45:02,2018-01-20 09:10:39,2018-01-24 00:04:00,2018-02-02 17:14:52,2018-02-20,5,,,2018-02-03 00:00:00,2018-02-08 14:18:11,2018-01-25 09:10:39,69.9,19.73,54.0,864.0,1.0,1340.0,1,boleto,1,89.63,londrina,PR,sports_leisure,Entertainment,11000.0,9,OnTime/Early,32,15,Slow,Fast,Fast
107414,rio de janeiro,RJ,2018-01-22 21:45:48,2018-01-22 21:55:30,2018-01-31 02:06:58,2018-02-08 19:28:30,2018-02-14,5,,,2018-02-09 00:00:00,2018-02-09 23:06:28,2018-01-26 21:55:30,79.9,16.81,45.0,173.0,1.0,2400.0,1,credit_card,4,96.71,sao paulo,SP,housewares,Home & Garden,15000.0,8,OnTime/Early,22,16,Neutral,Neutral,Fast
59451,rio de janeiro,RJ,2018-04-06 11:28:12,2018-04-07 02:48:24,2018-04-09 19:53:24,2018-04-26 19:26:40,2018-05-10,5,,,2018-04-27 00:00:00,2018-04-30 12:09:22,2018-04-12 02:48:24,190.0,34.87,60.0,3270.0,4.0,7350.0,1,boleto,1,224.87,ribeirao preto,SP,air_conditioning,Electronics,42000.0,16,OnTime/Early,33,20,Slow,Neutral,Neutral
52130,sao paulo,SP,2017-05-04 11:50:05,2017-05-04 13:02:03,2017-05-04 16:09:13,2017-05-22 10:34:16,2017-05-25,3,,,2017-05-23 00:00:00,2017-05-30 11:39:12,2017-05-10 12:32:12,69.9,11.88,58.0,689.0,1.0,950.0,1,credit_card,4,81.78,ibitinga,SP,bed_bath_table,Furniture,23625.0,17,OnTime/Early,20,17,Neutral,Neutral,Neutral
81298,sao paulo,SP,2017-11-22 10:24:31,2017-11-22 10:35:19,2017-11-28 14:39:00,2017-12-17 12:58:38,2017-12-08,1,,Gostaria de saber se vai entregar ainda ,2017-12-10 00:00:00,2017-12-12 20:19:31,2017-11-28 10:35:19,216.0,17.14,57.0,262.0,1.0,2400.0,1,credit_card,3,233.14,ibitinga,SP,bed_bath_table,Furniture,23625.0,18,Late,15,25,Fast,Slow,Neutral
85124,caruaru,PE,2018-01-10 17:31:59,2018-01-12 02:33:35,2018-01-12 21:03:04,2018-01-22 17:29:14,2018-02-14,4,,,2018-01-23 00:00:00,2018-01-25 20:44:50,2018-01-18 02:33:35,65.5,27.0,56.0,1611.0,1.0,970.0,1,boleto,1,92.5,echapora,SP,health_beauty,Beauty & Health,4590.0,9,OnTime/Early,34,11,Slow,Fast,Fast
62071,guapimirim,RJ,2018-03-04 21:25:15,2018-03-04 21:48:59,2018-03-09 23:58:44,2018-04-17 23:31:54,2018-04-02,1,,Meu produto não foi entregue.,2018-04-04 00:00:00,2018-04-06 00:22:45,2018-03-08 21:48:59,19.9,16.79,46.0,331.0,1.0,125.0,1,credit_card,1,73.38,maringa,PR,electronics,Electronics,4680.0,38,Late,28,44,Slow,Very Slow,Slow
7234,sao paulo,SP,2018-08-07 09:32:53,2018-08-07 09:45:15,2018-08-08 13:55:00,2018-08-11 14:38:43,2018-08-27,5,,,2018-08-12 00:00:00,2018-08-13 14:38:21,2018-08-10 09:45:15,39.0,12.93,45.0,111.0,3.0,550.0,1,debit_card,1,103.86,campo limpo paulista,SP,toys,Entertainment,12500.0,3,OnTime/Early,19,4,Neutral,Very Fast,Very Fast
20098,sao paulo,SP,2017-12-09 20:00:06,2017-12-09 20:10:18,2017-12-12 00:34:29,2018-01-03 19:26:48,2017-12-28,1,,"Super atrasado a entrega , prometeram em 12 dias e até agora não chegou 02/01/2018 era um presente , agora já perdeu o sentido ",2017-12-30 00:00:00,2018-01-02 15:30:26,2017-12-14 20:10:18,29.0,7.78,59.0,564.0,3.0,200.0,1,credit_card,3,36.78,sao paulo,SP,watches_gifts,Electronics,352.0,22,Late,18,24,Neutral,Neutral,Neutral
111022,campinas,SP,2017-04-11 15:06:33,2017-04-13 20:05:16,2017-04-20 09:07:39,2017-05-09 15:17:30,2017-05-18,5,,Responsável ,2017-05-10 00:00:00,2017-05-11 11:46:30,2017-05-02 20:05:16,166.0,21.48,35.0,1830.0,1.0,3400.0,1,credit_card,5,187.48,brasilia,DF,health_beauty,Beauty & Health,10500.0,19,OnTime/Early,36,28,Slow,Slow,Neutral
24109,florianopolis,SC,2018-06-04 10:38:02,2018-06-04 10:50:55,2018-06-07 12:55:00,2018-06-13 16:22:46,2018-07-13,4,,"Cartucho colorido não foi entregue devido, segundo eles, erro de estoque. ",2018-06-14 00:00:00,2018-06-15 12:42:10,2018-06-12 10:50:55,59.9,16.36,24.0,401.0,1.0,213.0,1,credit_card,1,141.92,maringa,PR,computers_accessories,Electronics,2808.0,6,OnTime/Early,38,9,Slow,Fast,Very Fast
55341,suzano,SP,2017-02-21 23:17:02,2017-02-21 23:30:09,2017-02-23 21:55:35,2017-03-02 14:32:40,2017-03-22,5,,,2017-03-03 00:00:00,2017-03-04 13:52:59,2017-02-26 23:17:02,104.0,11.34,64.0,332.0,1.0,1600.0,1,credit_card,1,115.34,ibitinga,SP,bed_bath_table,Furniture,23625.0,6,OnTime/Early,28,8,Slow,Fast,Very Fast
60329,guarulhos,SP,2017-04-17 12:24:44,2017-04-17 13:05:30,2017-04-18 11:16:43,2017-05-10 08:47:52,2017-05-08,1,,Eu não gostei demorou muito passou do prazo é o produto não chegou e por isso tou cancelando o pedid5,2017-05-10 00:00:00,2017-05-10 10:58:15,2017-04-24 13:05:30,259.9,44.62,57.0,674.0,1.0,22350.0,1,credit_card,3,304.52,santa barbara d´oeste,SP,luggage_accessories,Home & Garden,125504.0,21,Late,20,22,Neutral,Neutral,Neutral
73149,salvador,BA,2017-07-24 16:11:34,2017-07-24 16:25:12,2017-07-26 14:32:53,2017-08-02 17:06:01,2017-08-24,4,,dentro das expectativas apesar do frete caro,2017-08-03 00:00:00,2017-08-12 15:54:05,2017-07-31 16:25:12,12.97,15.79,58.0,1568.0,1.0,150.0,1,credit_card,1,28.76,sao paulo,SP,telephony,Electronics,2160.0,7,OnTime/Early,30,9,Slow,Fast,Very Fast
37855,arroio do sal,RS,2018-06-01 11:20:52,2018-06-01 11:32:20,2018-06-04 14:18:00,2018-06-12 23:14:39,2018-07-19,5,,,2018-06-13 00:00:00,2018-06-14 02:26:49,2018-06-11 11:30:29,29.3,34.23,60.0,298.0,1.0,450.0,1,credit_card,2,133.89,sao paulo,SP,stationery,Books & Stationery,1056.0,8,OnTime/Early,47,11,Very Slow,Fast,Fast
